key,value,unit,note
GrowthProbability_GrowthPeriod,0.30,確率,成長期(15-21)の成長ロール基礎確率（基準0.20×1.5）
GrowthProbability_PrimePeriod,0.12,確率,全盛期(22-27)の成長ロール基礎確率
GrowthProbability_MaturePeriod,0.05,確率,円熟期(28-34)の成長ロール基礎確率
GrowthProbability_LimitPeriod,0.02,確率,限界期(35-40)の成長ロール基礎確率
DifficultyCoefficientBase,1.0,倍,経路1(出撃)の難易度成長係数の基礎値
DifficultyCoefficientPer100,1.0,倍,難易度100あたりの加算量（難易度0で1.0倍・100で2.0倍）
TrainingFacilityMultiplier,1.0,倍,訓練場経路の成長倍率（施設Lv連動は未接続・現状固定）
MinGrowthAmount,1,pt,成長時の実効値上昇幅の下限
MaxGrowthAmount,3,pt,成長時の実効値上昇幅の上限
RetirementAge,26,歳,"この年齢の年度末（48週）で満期引退（→ 8年稼働モデル。アルベールの信念「全盛期のうちに引退させ、退職金を持たせて自立させる」）"
MaxActiveWeeks,384,週,満期稼働週数（8年×48週）。退職金の算出と「あと何週で満期か」の表示に使う

