key,value,unit,note
IronSword_Price,200,G,鉄の剣（武器）の購入価格
IronSword_EffectValue,10,pt,鉄の剣の個人CP加算量
GreatSword_Price,500,G,大剣（武器・戦士専用）の購入価格
GreatSword_EffectValue,20,pt,大剣の個人CP加算量
MageStaff_Price,400,G,魔導士の杖（武器・魔導士専用）の購入価格
MageStaff_EffectValue,15,pt,魔導士の杖の個人CP加算量
LeatherArmor_Price,200,G,革鎧（防具）の購入価格
LeatherArmor_EffectValue,20,pt,革鎧の最大HP加算量
HeavyArmor_Price,600,G,重装鎧（防具・戦士/神官専用）の購入価格
HeavyArmor_EffectValue,40,pt,重装鎧の最大HP加算量
Robe_Price,250,G,ローブ（防具・魔導士/神官専用）の購入価格
Robe_EffectValue,15,pt,ローブの最大HP加算量
PowerRing_Price,300,G,力の指輪（アクセサリー1）の購入価格
PowerRing_EffectValue,8,pt,力の指輪の個人CP加算量
LifeAmulet_Price,300,G,生命のお守り（アクセサリー1）の購入価格
LifeAmulet_EffectValue,15,pt,生命のお守りの最大HP加算量
QuickBrooch_Price,300,G,俊敏のブローチ（アクセサリー2）の購入価格
QuickBrooch_EffectValue,8,pt,俊敏のブローチの個人CP加算量
GuardCharm_Price,300,G,守りのお守り（アクセサリー2）の購入価格
GuardCharm_EffectValue,15,pt,守りのお守りの最大HP加算量
