key,value,unit,note
NoDeploymentWeeksThreshold,4,週,出場機会なしの判定週数（対象は全盛期22-27歳）
NoDeploymentPenalty,5,pt,出場機会なしの満足度減少量（毎週）
WageAdequacyRatio,0.8,倍,適正週給に対するこの比率未満で賃金不満とみなす
UnderpaidPenalty,8,pt,賃金不満時の満足度減少量（毎週）
VictoryBonus,10,pt,Bランク以上のクエスト達成時の満足度上昇量
PartyLossPenalty,30,pt,同パーティのメンバー戦死時の満足度減少量
HostilePairPenalty,10,pt,険悪ペアと同パーティ出撃時の満足度減少量（該当件数分だけ加算）
NegotiationThreshold,20,pt,この満足度未満で退団検討（昇給要求・移籍警告）
NegotiationGraceWeeks,2,週,警告後この週数内に対応しないと退団
MinRaiseMultiplier,1.5,倍,昇給提示の下限倍率
MaxRaiseMultiplier,2.0,倍,昇給提示の上限倍率
BonusWeeksEquivalent,8,×週給,一時金（ボーナス）＝週給×この倍数
