Id,Type,Name,TargetStat,MinValue,MaxValue,Tier,AllowedSlots,Weight
PrefixMightT1,Prefix,剛力の,STR,1,2,1,All,100
PrefixSturdyT1,Prefix,頑強な,VIT,1,2,1,All,100
PrefixThunderT1,Prefix,迅雷の,AGI,1,2,1,All,100
PrefixAccurateT1,Prefix,必中の,DEX,1,2,1,All,100
PrefixWisdomT1,Prefix,叡智の,INT,1,2,1,All,100
PrefixPrayerT1,Prefix,祈祷の,MND,1,2,1,All,100
PrefixCommandT1,Prefix,統率の,LDR,1,2,1,All,100
PrefixLifeT1,Prefix,生命の,HP,5,10,1,All,100
PrefixMightT2,Prefix,怪力の,STR,3,4,2,All,50
PrefixSturdyT2,Prefix,金剛の,VIT,3,4,2,All,50
PrefixGaleT2,Prefix,疾風の,AGI,3,4,2,All,50
PrefixSwiftT2,Prefix,神速の,DEX,3,4,2,All,50
PrefixDepthT2,Prefix,深奥の,INT,3,4,2,All,50
PrefixHolyT2,Prefix,聖心の,MND,3,4,2,All,50
PrefixAuraT2,Prefix,覇気の,LDR,3,4,2,All,50
PrefixLifeT2,Prefix,大生命の,HP,15,25,2,All,50
PrefixMightT3,Prefix,破壊の,STR,5,6,3,All,25
PrefixSturdyT3,Prefix,不壊の,VIT,5,6,3,All,25
PrefixSkyT3,Prefix,天翔の,AGI,5,6,3,All,25
PrefixMasteryT3,Prefix,絶技の,DEX,5,6,3,All,25
PrefixLightT3,Prefix,天光の,INT,5,6,3,All,25
PrefixMiracleT3,Prefix,奇跡の,MND,5,6,3,All,25
PrefixKingT3,Prefix,王者の,LDR,5,6,3,All,25
PrefixLifeT3,Prefix,不滅の,HP,30,45,3,All,25
SuffixLionT1,Suffix,［獅子］,STR,1,2,1,All,100
SuffixGiantT1,Suffix,［巨躯］,HP,5,10,1,All,100
SuffixFalconT1,Suffix,［隼］,AGI,1,2,1,All,100
SuffixCentipedeT1,Suffix,［百足］,DEX,1,2,1,All,100
SuffixOwlT1,Suffix,［梟］,INT,1,2,1,All,100
SuffixDryadT1,Suffix,［樹精］,MND,1,2,1,All,100
SuffixGeneralT1,Suffix,［将帥］,LDR,1,2,1,All,100
SuffixBedrockT1,Suffix,［岩盤］,VIT,1,2,1,All,100
SuffixTigerT2,Suffix,［猛虎］,STR,3,4,2,All,50
SuffixColossusT2,Suffix,［巨像］,HP,15,25,2,All,50
SuffixSwallowT2,Suffix,［飛燕］,AGI,3,4,2,All,50
SuffixPhantomT2,Suffix,［幻影］,DEX,3,4,2,All,50
SuffixSageT2,Suffix,［賢者］,INT,3,4,2,All,50
SuffixHolyTreeT2,Suffix,［聖樹］,MND,3,4,2,All,50
SuffixWarGodT2,Suffix,［軍神］,LDR,3,4,2,All,50
SuffixRampartT2,Suffix,［城壁］,VIT,3,4,2,All,50
SuffixTitanT3,Suffix,［巨神］,HP,30,45,3,All,25
SuffixBattleGodT3,Suffix,［戦神］,STR,5,6,3,All,25
SuffixDivineT3,Suffix,［神威］,INT,5,6,3,All,25
SuffixPhoenixT3,Suffix,［鳳凰］,AGI,5,6,3,All,25
SuffixHeavenEyeT3,Suffix,［天眼］,DEX,5,6,3,All,25
SuffixWorldTreeT3,Suffix,［世界樹］,MND,5,6,3,All,25
SuffixOverlordT3,Suffix,［覇王］,LDR,5,6,3,All,25
SuffixAegisT3,Suffix,［神盾］,VIT,5,6,3,All,25
