key,value,unit,note
EnemyCpCoefficient,3.0,倍,討伐の要求値（敵CP）＝クエスト難易度×この係数。項目63の統一点数計算式における「討伐の要求係数」も兼ねる（→ 03 §4.2.3・quest_scoring.csv。二重管理を避けるため討伐分のみここに置く）
MaxHpBase,50,HP,最大HP＝VIT×係数＋この基礎値
MaxHpVitCoefficient,2.0,倍,最大HP算出時のVIT係数
ScoutAvgCoefficient,0.3,倍,索敵値＝最大DEX＋平均DEX×この係数＋隊長LDR×係数
ScoutLeaderLdrCoefficient,0.2,倍,索敵値における隊長LDRの寄与係数
SurpriseLowerBoundBase,15,%,奇襲成功の判定下限（＋索敵差分deltaS）
AmbushUpperBoundBase,80,%,不意打ち回避の判定上限（＋索敵差分deltaS）
SurpriseCombatMultiplier,1.3,倍,奇襲成功時のパーティ戦闘力倍率
AmbushEnemyMultiplier,1.3,倍,不意打ち被弾時の敵CP倍率
AmbushBackRowWeight,1.5,倍,不意打ち時の後衛の被弾ウェイト
AmbushFrontRowWeight,1.0,倍,不意打ち時の前衛の被弾ウェイト
RatioThreshold_Victory,1.8,倍,完全勝利となる戦闘比率の下限
RatioThreshold_NarrowWin,1.0,倍,辛勝となる戦闘比率の下限
RatioThreshold_Defeat,0.6,倍,苦戦敗退となる戦闘比率の下限（これ未満は戦線崩壊）
HpLossPct_Victory_Min,5,%,完全勝利時のHP消費率下限
HpLossPct_Victory_Max,15,%,完全勝利時のHP消費率上限
HpLossPct_NarrowWin_Min,20,%,辛勝時のHP消費率下限
HpLossPct_NarrowWin_Max,45,%,辛勝時のHP消費率上限
HpLossPct_Defeat_Min,40,%,苦戦敗退時のHP消費率下限
HpLossPct_Defeat_Max,70,%,苦戦敗退時のHP消費率上限
HpLossPct_Rout_Min,70,%,戦線崩壊時のHP消費率下限
HpLossPct_Rout_Max,100,%,戦線崩壊時のHP消費率上限
SurvivalClericMndCoefficient,0.4,倍,致死回避閾値：同パーティ神官のMND寄与係数
SurvivalLeaderLdrCoefficient,0.2,倍,致死回避閾値：隊長LDRの寄与係数
SurvivalThresholdMin,5,%,致死回避閾値の下限（必ずロストの余地を残す）
SurvivalThresholdMax,90,%,致死回避閾値の上限（硬い前衛でも0%にしない）
PermanentBand,20,%,閾値超〜＋この幅が不可逆障害（古傷）。超過は戦死
SevereInjuryWeeksMin,3,週,重傷の全治週数の下限
SevereInjuryWeeksMax,8,週,重傷の全治週数の上限
ResistPoisonDamageReductionRate,0.20,倍,耐毒体質：階層ボスの「猛毒」ギミックが未対策のとき、部隊に保有者が1人でもいれば猛毒分の被ダメージ倍率（危険度×UncounteredDamageMultiplierPerDangerLevel）をこの率だけ減らす（→ 03 §4.5.4・§5.3.2）
GiantHunterDamageBonusRate,0.15,倍,巨獣狩り：階層ボスが「重装甲」ギミックを持つとき、保有者本人の個人CP（討伐火力）にこの率を上乗せする（→ 03 §4.5.4・§5.3.2）
