key,value,unit,note
InitialValue,50,pt,未登録ペアの相性初期値（中立）
HostileThreshold,30,pt,これ未満で「険悪」と判定（満足度ペナルティに接続）
AchievementGain,3,pt,同パーティでクエスト達成した時の相性上昇量
FailureLoss,2,pt,同パーティで失敗した時の相性下降量
DeathWitnessLoss,15,pt,同パーティの戦死に居合わせた生存者同士の相性下降量
TraumaGrantChancePercent,30,%,戦死に居合わせた生存者へのトラウマ特性付与確率
TrainerBonusCoefficient,0.005,倍,教官：対象ステータスの引退時の値（施設が扱う能力の平均）×この係数を成長ロール確率に加算
AdvisorBonusCoefficient,0.2,倍,参謀（旧）：引退時ステータス7能力平均×この係数を旧クエストの索敵値と致死回避閾値に加算していた（旧クエスト撤去で加算先なし。大迷宮向けは下記Advisor_*）
Advisor_SurveyIntelBonusCoeff,0.002,倍,参謀：引退時ステータス7能力平均×この係数を、迷宮調査（ボス解析）の解析率上昇量への加算率とする（平均50で+10%。研究ボーナスと合算）
Advisor_TraversalPowerBonusCoeff,0.2,倍,参謀：引退時ステータス7能力平均×この係数を、道中潜行の走破力スコアへ直接加算する（平均50で+10）
ScoutMasterBonusCoefficient,0.003,倍,スカウト：引退時ステータスLDR/DEX平均×この係数を有望新人出現率に加算
