key,value,unit,note
Traversal_Weight_Vit,1.0,倍,走破力算出における各員のVIT（体力・悪路踏破）への重み
Traversal_Weight_Mnd,0.8,倍,走破力算出における各員のMND（精神力・気力の持久）への重み
Traversal_Weight_Ldr,1.0,倍,部隊長LDR×この係数を走破力へ加算（指揮による道中効率化）
RequirementPerFloor,15,pt,道中進軍の要求値＝現在到達階層（ReachedFloor）×この値
RatioThreshold_Lightning,1.8,倍,電撃進軍（+4階層）となるRatioの下限
RatioThreshold_Swift,1.4,倍,迅速進軍（+3階層）となるRatioの下限
RatioThreshold_Normal,1.0,倍,通常進軍（+2階層）となるRatioの下限（これ未満は苦戦進軍・+1階層）
FloorsAdvanced_Lightning,4,階,電撃進軍で進む階層数
FloorsAdvanced_Swift,3,階,迅速進軍で進む階層数
FloorsAdvanced_Normal,2,階,通常進軍で進む階層数
FloorsAdvanced_Struggling,1,階,苦戦進軍で進む階層数（走破力が不足しても必ず1階層は進む＝完全な足止めにはしない）
HpLossPctMin_Lightning,5,%,電撃進軍でのHP消費率下限（楽に踏破できた分、消耗も軽い）
HpLossPctMax_Lightning,8,%,電撃進軍でのHP消費率上限
HpLossPctMin_Swift,8,%,迅速進軍でのHP消費率下限
HpLossPctMax_Swift,12,%,迅速進軍でのHP消費率上限
HpLossPctMin_Normal,12,%,通常進軍でのHP消費率下限
HpLossPctMax_Normal,16,%,通常進軍でのHP消費率上限
HpLossPctMin_Struggling,16,%,苦戦進軍でのHP消費率下限（走破力不足で手こずった分、消耗が重い）
HpLossPctMax_Struggling,20,%,苦戦進軍でのHP消費率上限
IntelSpeedBonusPerIntel,2.0,倍,調査度連動の走破加速：区間担当ボスの解析率（0.0〜1.0）×この値を1.0へ加算した倍率で進む（未調査1.0倍〜完全解析3.0倍）
FullIntelDamageMultiplier,0.3,倍,区間担当ボスが完全解析済みの階層を進む際の被ダメージ倍率（HP損耗を70%軽減）
LootGoldPerFloor,5,G,道中で1階層進むごとに拾い集めるゴールド（帰還時にギルドへ格納）
LootFloorsPerMaterial,2,階,この階層数を進むごとに、その階層で採れる素材を1個拾う（帰還時にギルドへ格納）
