key,value,unit,note
InitialGold,3000,G,開始時の所持金（GameState.Gold の初期値）
SideJobIntervalWeeks,4,週,アルベールの市販薬・内職売上の入金間隔（月次＝4週。旧SubsidyWeeksPerMonth。構造値のため通常は変更しない）
SideJobBaseAmount,200,G/月,アルベールの市販薬・内職売上の基本額（旧・格付けGの月次助成金を流用）。実入金＝この値×マスターの機嫌の売上倍率（→ master_mood.csv SideJobMultiplier_*）
WeeklyWageCoefficient,0.6,倍,週給＝総合PA×この係数（採用時の初期週給算出）
AppropriateWageCoefficient,0.6,倍,適正週給＝総合PA×この係数（満足度の賃金妥当性判定に使用）
SigningBonusCoefficient,3.0,倍,契約金＝総合PA×この係数
SeveranceWeeks,12,×週給,引退時の退職金の基礎部分（週給×この週数）
SeveranceContributionCoefficient,2.0,G/pt,"退職金の功績加算＝累積功績（TotalContributionScore）×この係数。「十分な退職金を持たせて安全に自立させる」という方針の実装（→ 01_コンセプト.md）"
SeveranceShortfallMoodPenalty,15,pt,退職金を払いきれなかった場合のマスターの機嫌の低下量（「退職金を持たせて自立させる」アルベールの信念に背くため。旧SeveranceShortfallReputationPenalty）
BankruptcyConsecutiveWeeksThreshold,4,週,所持金マイナスがこの週数連続で解消されないと破産＝敗北（→ 03 §8.3。旧security.csvから移設）
