key,value,unit,note
StrongEnemy_OccurrenceChancePercent,10,%,強敵との遭遇の発生確率（探索・護衛のみ。→ 03 §4.2.3・項目65。仮値）
StrongEnemy_RequirementCoefficient,2.0,倍,遭遇要求値＝クエストDifficulty×この係数
StrongEnemy_LeaderLdrCoefficient,0.5,倍,押し切りスコアにおける隊長LDRの寄与係数
StrongEnemy_BraveBonus,20,pt,押し切りスコア：豪胆の保有者がパーティにいれば1回だけ加算
StrongEnemy_AttentiveBonus,20,pt,退避スコア：注意深いの保有者がパーティにいれば1回だけ加算
StrongEnemy_TraumaPenalty,20,pt,退避スコア：トラウマの保有者がパーティにいれば1回だけ減算
StrongEnemy_OldWoundPenalty,20,pt,退避スコア：古傷の保有者がパーティにいれば1回だけ減算
StrongEnemy_PushThroughRewardGold,200,G,押し切った場合の追加報酬（苦戦・退避時は無し）
TreasureVault_OccurrenceChancePercent,15,%,宝物庫の発見の発生確率（探索のみ。仮値）
TreasureVault_RequirementCoefficient,2.0,倍,宝物庫判定の要求値＝クエストDifficulty×この係数
TreasureVault_AttentiveBonus,20,pt,判定スコア：注意深いの保有者がパーティにいれば1回だけ加算
TreasureVault_RatioThreshold_GreatSuccess,1.5,倍,宝物庫判定で大成功となるRatioの下限（イベント専用の閾値）
TreasureVault_RatioThreshold_Success,1.0,倍,宝物庫判定で成功となるRatioの下限（これ未満は失敗）
TreasureVault_GreatSuccessRewardGold,400,G,大成功時の追加報酬（大）
TreasureVault_SuccessRewardGold,150,G,成功時の追加報酬（小）
TreasureVault_TrapChancePercent,30,%,失敗時に罠が作動する確率
TreasureVault_TrapHpLossPctMin,3,%,罠作動時の追加HP消費率の下限
TreasureVault_TrapHpLossPctMax,8,%,罠作動時の追加HP消費率の上限
PushingOn_OccurrenceChancePercent,15,%,深追いの発生確率（探索・護衛。拘束期間は変更しない。仮値）
PushingOn_RequirementCoefficient,2.0,倍,深追い判定の要求値＝クエストDifficulty×この係数
PushingOn_RatioThreshold_GreatSuccess,1.5,倍,深追い判定で大成功となるRatioの下限（イベント専用の閾値）
PushingOn_RatioThreshold_Success,1.0,倍,深追い判定で成功となるRatioの下限（これ未満は失敗）
PushingOn_GreatSuccessRewardGold,300,G,大成功時の追加報酬
PushingOn_GreatSuccessHpLossPctMin,3,%,大成功時の追加HP消費率の下限（粘った代償）
PushingOn_GreatSuccessHpLossPctMax,8,%,大成功時の追加HP消費率の上限
PushingOn_SuccessRewardGold,100,G,成功時の追加報酬（小さめ。追加HP消費なし）
PushingOn_FailureHpLossPctMin,10,%,失敗時の追加HP消費率の下限（粘ったが得るものが無かった）
PushingOn_FailureHpLossPctMax,20,%,失敗時の追加HP消費率の上限
