key,value,unit,note
CandidateCount,5,名,新春採用試験の応募者数
MinCandidateAge,18,歳,"応募者の年齢下限（8年稼働モデル：18歳加入→26歳満期引退。→ 03 §3.7）"
MaxCandidateAge,18,歳,"応募者の年齢上限（加入年齢を18歳に統一し、全員が満期まで8年間稼働できるようにする）"
YoungestAgePaBonus,0,pt,"最年少のPA補正。8年稼働モデルで加入年齢を18歳に統一したため、年齢による差別化は無くなり0とする（レンジを復活させる場合はここを戻す）"
MinGeneratedPa,40,pt,通常応募者のPA生成レンジ下限
MaxGeneratedPa,80,pt,通常応募者のPA生成レンジ上限
HighPotentialBaseChance,0.25,確率,有望新人の基礎出現率（スカウト顧問のボーナスが加算される）
HighPotentialMinPa,70,pt,有望新人のPA生成レンジ下限
HighPotentialMaxPa,100,pt,有望新人のPA生成レンジ上限
YoungestGrowthRatio,0.3,倍,"加入時の初期実効値/PA比率（伸びしろ最大）。加入年齢を18歳に統一したため、現在は常にこちらが使われる"
OldestGrowthRatio,0.7,倍,"年齢レンジ上限側の初期実効値/PA比率（即戦力寄り）。加入年齢統一により現在は未使用（レンジを復活させる場合に効く）"
InnateTraitChancePercent,5,%,先天特性（豪胆・注意深い・容姿秀麗）各々の付与確率
WesternCultureChancePercent,80,%,氏名生成における洋名の出現率（残りは和名）
UniqueNameRetryLimit,50,回,氏名重複回避のリトライ上限
DraftCandidateCount,5,名,第1週(ゲーム開始週)の新春ドラフトで提示する候補者数（魔導士・学者・騎士・盗賊の4名は必ず含む＝4が下限。5名目以降は全職業から通常抽選）
DraftHireCount,2,名,新春ドラフトで採用する人数（契約金0G。初期3名＋2名＝5名体制で開始）
