key,value,unit,note
AppraisalCostCommon,100,G,銅（Common）の鑑定費用
AppraisalCostRare,250,G,銀（Rare）の鑑定費用
AppraisalCostEpic,500,G,金（Epic）の鑑定費用
AppraisalCostLegendary,1200,G,虹（Legendary）の鑑定費用
EquipmentRateCommon,30,%,銅：鑑定結果が武具になる比率（武具率＋素材率＋換金率＝100であること）
MaterialRateCommon,50,%,銅：鑑定結果が素材になる比率
GoldRateCommon,20,%,銅：鑑定結果が換金（古代硬貨）になる比率
EquipmentRateRare,40,%,銀：武具率
MaterialRateRare,40,%,銀：素材率
GoldRateRare,20,%,銀：換金率
EquipmentRateEpic,50,%,金：武具率
MaterialRateEpic,30,%,金：素材率
GoldRateEpic,20,%,金：換金率
EquipmentRateLegendary,60,%,虹：武具率
MaterialRateLegendary,25,%,虹：素材率
GoldRateLegendary,15,%,虹：換金率
GoldRewardMinCommon,60,G,銅：換金だった場合の獲得ゴールド下限（鑑定費用100Gに対し赤字もあり得る）
GoldRewardMaxCommon,160,G,銅：同上の上限
GoldRewardMinRare,180,G,銀：換金だった場合の獲得ゴールド下限
GoldRewardMaxRare,420,G,銀：同上の上限
GoldRewardMinEpic,420,G,金：換金だった場合の獲得ゴールド下限
GoldRewardMaxEpic,900,G,金：同上の上限
GoldRewardMinLegendary,1100,G,虹：換金だった場合の獲得ゴールド下限
GoldRewardMaxLegendary,2600,G,虹：同上の上限
MaterialCountMinCommon,1,個,銅：素材だった場合の獲得個数下限
MaterialCountMaxCommon,3,個,銅：同上の上限
MaterialCountMinRare,3,個,銀：素材だった場合の獲得個数下限
MaterialCountMaxRare,6,個,銀：同上の上限
MaterialCountMinEpic,6,個,金：素材だった場合の獲得個数下限
MaterialCountMaxEpic,10,個,金：同上の上限
MaterialCountMinLegendary,10,個,虹：素材だった場合の獲得個数下限
MaterialCountMaxLegendary,18,個,虹：同上の上限
EquipmentPoolCommon,IronSword;LeatherArmor;QuickBrooch;GuardCharm,ItemId列,銅：武具だった場合の抽選プール（ItemCatalogのIdを「;」区切り）
EquipmentPoolRare,GreatSword;MageStaff;Robe;PowerRing,ItemId列,銀：武具だった場合の抽選プール
EquipmentPoolEpic,HeavyArmor;LifeAmulet;GreatSword;MageStaff,ItemId列,金：武具だった場合の抽選プール
EquipmentPoolLegendary,HeavyArmor;GreatSword;MageStaff;LifeAmulet;PowerRing,ItemId列,虹：武具だった場合の抽選プール
GatheringDropBasePct,5,%,探索（採取）任務で未鑑定遺物がドロップする基礎確率
GatheringDropMaxPct,15,%,同上の上限（採取スコア・深度ボーナスを乗せてもこれを超えない）
GatheringDropScoreDivisor,40,pt,採取スコア（DEX/AGI/隊長LDR由来）÷この値をドロップ確率へ加算する
GatheringDropFloorDivisor,20,層,フィールドの最高到達階層÷この値をドロップ確率へ加算する
RarityFloorBonusDivisor,10,層,希少度ロールへの深度ボーナス＝出土階層÷この値
RareRollThreshold,60,pt,希少度ロール（1〜100＋深度ボーナス＋任務ボーナス）がこの値以上なら銀
EpicRollThreshold,85,pt,同上：この値以上なら金
LegendaryRollThreshold,100,pt,同上：この値以上なら虹
BossRelicRollBonus,25,pt,階層ボス撃破ドロップの希少度ロールへ加算するボーナス
BossMinimumRarity,Rare,ItemRarity,階層ボス撃破ドロップの最低保証希少度（これ未満のロール結果は引き上げる）
