key,value,unit,note
OldWoundStatReduction,-0.15,倍,古傷がSTR/VIT/AGI/DEXそれぞれに与える恒久的な減少率（→ 03 §4.3・§5.3.2）
TraumaMndReduction,-0.15,倍,トラウマがMNDに与える恒久的な減少率（→ 03 §5.3.2）
BraveSurvivalThresholdBonus,5,pt,豪胆が致死判定のSurvivalThreshold（→ 03 §4.3）に与える固定加算
AttentiveScoutingBonus,0.10,倍,注意深いが索敵フェーズのDEX寄与に与える補正（→ 03 §4.1・§5.3.2）
BeautifulCompatibilityGainMultiplier,1.5,倍,容姿秀麗が関与する相性ペアの上昇量に掛かる倍率（下降量には影響しない。→ 03 §5.3.1）
CountryBredExplorationBonus,10,pt,田舎育ちが探索クエストの個人スコアに加算する量（→ 03 §4.2.3・項目64。仮値）
PairSynergyLdrMitigationCoefficient,0.01,倍,"ペア特性シナジーの合計がマイナスの時だけ働く緩和係数。緩和率＝clamp(隊長LDR×この係数,0,1)（LDR100で全額相殺。→ 03 §4.2.3・pair_synergy.csv。仮値）"
TraitTransmissionBaseRatePercent,2.0,%,教官による特性伝授の週次基礎確率（→ 特性伝授刷新仕様。仮値）
TraitTransmissionPeakStatBonusMaxPercent,2.0,%,教官の対象ステータス引退時ステータス平均(100で頭打ち)に比例して加算される最大ボーナス（仮値）
TraitTransmissionMentorBonusPercent,3.0,%,教官が師匠肌(Mentor)を持つ場合に加算される固定ボーナス（仮値）
