key,value,unit,note
InitialSquadSlots,1,枠,ゲーム開始時の同時出撃枠（1枠内で1〜4名の分割編成は自由）
SquadSlotsAfterPromotionExam,2,枠,Rank E昇格試験の突破で拡張される同時出撃枠
PromotionExamMinDispatchCount,3,回,昇格試験クエストが提示される条件：累計出撃回数（→ Phase 2）
PromotionExamMinGold,100,G,昇格試験クエストが提示される条件：ギルド資金（→ Phase 2）
PromotionExamRewardGold,400,G,昇格試験突破時の昇格報奨金（新人を雇用できる十分な額）
PromotionExamNewHireCount,4,名,昇格試験突破時に酒場へ補充される新規冒険者の人数
PromotionExamQuestName,ゴブリンリーダー討伐,名称,Rank E昇格試験クエストの名前
PromotionExamDifficulty,28,pt,昇格試験クエストの難易度スコア
PromotionExamScoutRequirement,20,pt,昇格試験クエストの索敵要求値
PromotionExamRewardQuestGold,250,G,昇格試験クエスト自体のクエスト報酬（昇格報奨金とは別）
PromotionExamDeadlineWeeks,8,週,昇格試験クエストの受注期限（通常クエストより長め）
PromotionExamRecommendedMembers,4,名,昇格試験クエストの推奨人数（総力戦）
